,회사명,대표자명,주소,홈페이지,전화번호,팩스번호,업종,설립일
0,가나축산물유통,정성교,"경상북도 포항시 북구 용당로 24-21 (용흥동, 서부종합시장)",,054-274-4253, ,육류 도매업,2013-12-04
1,가람유통,김승욱,경기도 용인시 기흥구 신구로54번길 5-7 (구갈동)106,,0312747894, ,육류 도매업,2013-09-03
2,가흥,진종팔,부산광역시 사상구 사상로 557 (모라동),,051-304-9973,051-304-9976,육류 도매업,2002-02-07
3,강남프라임,나상현,"서울특별시 강남구 삼성로 535 4층 402호(삼성동, 삼화빌딩)",,02-3444-6888,02-3443-4302,육류 도매업,2008-01-31
4,견우마을,최낙명,서울특별시 강동구 성내동 549 2층,,02-479-2222,02-479-1975,육류 도매업,2003-01-21
5,견우푸드,최낙명,경기도 광주시 곤지암읍 곤지암천로 149-41 (신대리),,02-479-2222,02-479-1975,육류 도매업,2005-03-17
6,고기랑농업회사법인,이상,대전광역시 중구 성산로 11 (안영동) 으뜸원포크,,042-535-8852,042-535-8853,육류 도매업,2009-09-02
7,고기연구소,전의선,서울특별시 성동구 고산자로 335-16 (마장동),,02-2292-1700,02-2292-5802,육류 도매업,2017-04-26
8,교촌에프앤비,윤진호,경상북도 칠곡군 가산면 송신로 78,kyochonfnb.com,031-371-3500,031-371-3696,육류 도매업,1999-11-12
9,국제식품,김환영,인천광역시 서구 백범로630번길 34 (가좌동),koreameat.net/,032-573-8181,032-573-8180,육류 도매업,1998-02-06
10,국제식품,정정교,"부산광역시 사상구 낙동대로 1498 (삼락동, 주식회사국제식품)",,051-304-4477,051-301-5168,육류 도매업,1994-12-15
11,굿모닝푸드,정진관,경기도 하남시 샘재로 76 (천현동)굿모닝푸드,www.goodmorningmeatshop.com,031-793-6676,031-793-6694,육류 도매업,2006-08-01
12,글로벌미트컴퍼니,김연포,서울특별시 성동구 마장로31길 40 (마장동) 112호,,02-2299-9200,02-2299-3922,육류 도매업,2011-12-01
13,금대유통,최회신,서울특별시 금천구 범안로15길 26 1층 (독산동),,02-894-9575, ,육류 도매업,2007-08-30
14,깐부,김승일,"서울특별시 강남구 도산대로58길 16 (청담동, 청담빌딩)",www.kkanbu.co.kr,02-1544-9226,031-889-5068,육류 도매업,2008-02-18
15,나진코퍼레이션,이수영,"서울특별시 용산구 청파로 109 507호 (한강로3가, 나진전자월드빌딩)",,02-703-2537,02-704-3025,육류 도매업,1997-05-07
16,남상푸드,최중원,부산광역시 사상구 사상로 561 (모라동),,051-714-5300,051-714-5305,육류 도매업,2013-10-22
